CHAMP1,CHAMP2,CHAMP1_POSITION,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Gnar,RekSai,TOP_LANER,JUNGLER,5,12,17,0.29411764705882354,0.7058823529411765,2015,Spring,Red
RekSai,Ahri,JUNGLER,MID_LANER,5,12,17,0.29411764705882354,0.7058823529411765,2015,Spring,Red
RekSai,Thresh,AD_CARRY,SUPPORT,10,15,25,0.4,0.6,2015,Spring,Red
Irelia,Vi,TOP_LANER,JUNGLER,2,0,2,1.0,0.0,2015,Spring,Blue
Vi,Lissandra,JUNGLER,MID_LANER,6,1,7,0.8571428571428571,0.14285714285714285,2015,Spring,Blue
Vi,Annie,JUNGLER,SUPPORT,5,1,6,0.8333333333333334,0.16666666666666666,2015,Spring,Blue
Kalista,Annie,AD_CARRY,SUPPORT,7,4,11,0.6363636363636364,0.36363636363636365,2015,Spring,Blue
JarvanIV,Ahri,JUNGLER,MID_LANER,14,9,23,0.6086956521739131,0.391304347826087,2015,Spring,Red
JarvanIV,Leona,AD_CARRY,SUPPORT,5,12,17,0.29411764705882354,0.7058823529411765,2015,Spring,Red
Sivir,Leona,AD_CARRY,SUPPORT,5,9,14,0.35714285714285715,0.6428571428571429,2015,Spring,Red
Lulu,LeeSin,TOP_LANER,JUNGLER,4,3,7,0.5714285714285714,0.42857142857142855,2015,Spring,Blue
LeeSin,Xerath,JUNGLER,MID_LANER,9,5,14,0.6428571428571429,0.35714285714285715,2015,Spring,Blue
LeeSin,Janna,JUNGLER,SUPPORT,10,9,19,0.5263157894736842,0.47368421052631576,2015,Spring,Blue
Sion,JarvanIV,TOP_LANER,JUNGLER,6,3,9,0.6666666666666666,0.3333333333333333,2015,Spring,Red
JarvanIV,Cassiopeia,JUNGLER,MID_LANER,7,3,10,0.7,0.3,2015,Spring,Red
JarvanIV,Blitzcrank,AD_CARRY,SUPPORT,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Red
Kalista,Blitzcrank,AD_CARRY,SUPPORT,2,0,2,1.0,0.0,2015,Spring,Red
Maokai,JarvanIV,TOP_LANER,JUNGLER,16,6,22,0.7272727272727273,0.2727272727272727,2015,Spring,Blue
Lulu,Rengar,TOP_LANER,JUNGLER,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Red
Rengar,Janna,AD_CARRY,SUPPORT,4,3,7,0.5714285714285714,0.42857142857142855,2015,Spring,Red
Tristana,Janna,AD_CARRY,SUPPORT,1,7,8,0.125,0.875,2015,Spring,Red
Rumble,Vi,TOP_LANER,JUNGLER,5,0,5,1.0,0.0,2015,Spring,Blue
Vi,Zed,JUNGLER,MID_LANER,3,0,3,1.0,0.0,2015,Spring,Blue
Vi,Morgana,JUNGLER,SUPPORT,6,1,7,0.8571428571428571,0.14285714285714285,2015,Spring,Blue
Caitlyn,Morgana,AD_CARRY,SUPPORT,4,2,6,0.6666666666666666,0.3333333333333333,2015,Spring,Blue
RekSai,Leblanc,JUNGLER,MID_LANER,3,6,9,0.3333333333333333,0.6666666666666666,2015,Spring,Red
RekSai,Janna,AD_CARRY,SUPPORT,7,12,19,0.3684210526315789,0.631578947368421,2015,Spring,Red
JarvanIV,Nami,JUNGLER,SUPPORT,5,8,13,0.38461538461538464,0.6153846153846154,2015,Spring,Blue
KogMaw,Nami,AD_CARRY,SUPPORT,3,6,9,0.3333333333333333,0.6666666666666666,2015,Spring,Blue
Maokai,LeeSin,TOP_LANER,JUNGLER,10,13,23,0.43478260869565216,0.5652173913043478,2015,Spring,Red
LeeSin,Zed,JUNGLER,MID_LANER,5,1,6,0.8333333333333334,0.16666666666666666,2015,Spring,Red
