CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
Nautilus,Graves,2016,Spring,blue,Top,Jungle,14,6
Malphite,Graves,2016,Spring,blue,Top,Jungle,5,3
Ryze,RekSai,2016,Spring,blue,Top,Jungle,16,7
Quinn,Nidalee,2016,Spring,blue,Top,Jungle,4,3
Malphite,Gragas,2016,Spring,blue,Top,Jungle,8,5
Poppy,Gragas,2016,Spring,blue,Top,Jungle,33,20
Poppy,Elise,2016,Spring,blue,Top,Jungle,45,27
Poppy,Udyr,2016,Spring,blue,Top,Jungle,1,0
Malphite,Nidalee,2016,Spring,blue,Top,Jungle,4,2
Quinn,Gragas,2016,Spring,blue,Top,Jungle,3,1
Pantheon,Gragas,2016,Spring,blue,Top,Jungle,2,2
Nautilus,Nidalee,2016,Spring,blue,Top,Jungle,22,16
Lulu,LeeSin,2016,Spring,blue,Top,Jungle,4,2
Nautilus,LeeSin,2016,Spring,blue,Top,Jungle,9,6
Graves,Nidalee,2016,Spring,blue,Top,Jungle,4,3
Graves,Elise,2016,Spring,blue,Top,Jungle,4,2
Yasuo,Gragas,2016,Spring,blue,Top,Jungle,1,0
Trundle,Kindred,2016,Spring,blue,Top,Jungle,5,3
Trundle,Gragas,2016,Spring,blue,Top,Jungle,16,11
Nautilus,Elise,2016,Spring,blue,Top,Jungle,22,11
Trundle,Elise,2016,Spring,blue,Top,Jungle,18,7
Rammus,Gragas,2016,Spring,blue,Top,Jungle,10,4
Yasuo,Sejuani,2016,Spring,blue,Top,Jungle,1,1
Trundle,Udyr,2016,Spring,blue,Top,Jungle,1,0
Lulu,Gragas,2016,Spring,blue,Top,Jungle,4,2
Gnar,Nidalee,2016,Spring,blue,Top,Jungle,5,4
Nautilus,Kindred,2016,Spring,blue,Top,Jungle,10,3
Maokai,Graves,2016,Summer,blue,Top,Jungle,17,8
Fiora,RekSai,2016,Summer,blue,Top,Jungle,6,2
Trundle,Nidalee,2016,Summer,blue,Top,Jungle,20,14
Maokai,Gragas,2016,Summer,blue,Top,Jungle,8,2
Vladimir,Graves,2016,Summer,blue,Top,Jungle,1,1
Gragas,RekSai,2016,Summer,blue,Top,Jungle,7,3
Ekko,Olaf,2016,Summer,blue,Top,Jungle,5,2
Trundle,Gragas,2016,Summer,blue,Top,Jungle,51,24
Ekko,Kindred,2016,Summer,blue,Top,Jungle,11,6
Fizz,Nidalee,2016,Summer,blue,Top,Jungle,4,4
Trundle,Elise,2016,Summer,blue,Top,Jungle,63,34
