,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
125,Rumble,blue,Gragas,2015,Irelia,Evelynn,1,1
126,Rumble,blue,XinZhao,2015,Gnar,RekSai,1,0
127,Gnar,blue,RekSai,2015,Fizz,Ekko,1,1
128,Hecarim,blue,RekSai,2015,Rumble,Gragas,1,0
129,Rumble,blue,Sejuani,2015,JarvanIV,RekSai,1,0
130,Maokai,blue,Nocturne,2015,Rumble,Evelynn,1,0
131,Sion,blue,Ekko,2015,Gnar,Evelynn,1,1
132,Gnar,blue,JarvanIV,2015,Shen,Nocturne,1,1
133,Fizz,blue,RekSai,2015,Gnar,Ekko,1,1
134,Hecarim,blue,RekSai,2015,Rumble,Sejuani,2,2
135,Hecarim,blue,Gragas,2015,Gnar,RekSai,1,1
136,Maokai,blue,LeeSin,2015,Rumble,Nocturne,1,1
137,Rumble,blue,JarvanIV,2015,Gnar,Evelynn,1,1
138,Vladimir,blue,Gragas,2015,Hecarim,RekSai,1,1
139,Shen,blue,RekSai,2015,Nautilus,Olaf,1,1
140,Nautilus,blue,Nidalee,2015,Shen,Gragas,1,1
141,Lulu,blue,Evelynn,2015,Nautilus,Gragas,1,0
142,Fizz,blue,RekSai,2015,Nautilus,Gragas,2,0
143,Rumble,blue,Gragas,2015,Nautilus,Nidalee,1,0
144,Shen,blue,Evelynn,2015,Irelia,RekSai,1,1
145,Shen,blue,RekSai,2015,Rumble,Gragas,1,1
146,Rumble,blue,Gragas,2015,Gnar,Nidalee,1,0
147,Gnar,blue,Gragas,2015,Maokai,Nidalee,1,0
148,Shen,blue,Evelynn,2015,Maokai,RekSai,2,1
149,Shen,blue,JarvanIV,2015,Rumble,LeeSin,1,1
150,Gnar,blue,Gragas,2015,Maokai,RekSai,3,1
151,Nautilus,blue,RekSai,2015,Fizz,Gragas,1,0
152,Maokai,blue,Nidalee,2015,Rumble,RekSai,2,1
153,Maokai,blue,Gragas,2015,Nautilus,Vi,1,1
154,Gnar,blue,LeeSin,2015,Rumble,JarvanIV,3,3
155,Irelia,blue,Gragas,2015,Maokai,RekSai,1,0
156,Maokai,blue,Rengar,2015,JarvanIV,LeeSin,1,1
157,Maokai,blue,Gragas,2015,Nautilus,RekSai,1,0
158,Ryze,blue,LeeSin,2015,Nautilus,Gragas,1,1
159,Fizz,blue,Nautilus,2015,Maokai,Evelynn,1,1
160,Rumble,blue,Shyvana,2015,Maokai,Evelynn,1,1
161,Maokai,blue,Nidalee,2015,Shen,Gragas,1,1
162,Fizz,blue,Gragas,2015,Hecarim,RekSai,1,1
163,Shen,blue,Vi,2015,Gnar,RekSai,1,0
164,Rumble,blue,Evelynn,2015,Maokai,Gragas,2,1
165,Maokai,blue,RekSai,2015,Fizz,Gragas,1,1
166,Maokai,blue,Nidalee,2015,Kennen,Gragas,1,0
167,Rumble,blue,RekSai,2015,Maokai,Gragas,5,2
168,Vladimir,blue,Elise,2015,Shen,LeeSin,1,0
169,Maokai,blue,Nidalee,2015,Gnar,Vi,1,0
170,Fizz,blue,Gragas,2015,Maokai,Nidalee,1,0
171,Shen,blue,RekSai,2015,Olaf,Gragas,1,0
172,Maokai,blue,Nidalee,2015,Shen,Evelynn,1,0
173,Nautilus,blue,Nidalee,2015,Maokai,Gragas,2,0
174,Khazix,blue,Zac,2015,Maokai,Nunu,1,1
175,Riven,blue,Ekko,2015,JarvanIV,RekSai,1,0
176,Olaf,blue,Gragas,2015,Rumble,RekSai,1,1
177,Shen,blue,Gragas,2015,Gnar,Shyvana,1,0
178,Rumble,blue,Gragas,2015,Kassadin,Elise,1,0
179,Maokai,blue,Gragas,2015,Gnar,LeeSin,1,1
180,Shen,blue,Gragas,2015,Maokai,Shyvana,1,0
181,Gnar,blue,Nidalee,2015,Maokai,Rengar,1,1
182,Maokai,blue,Nidalee,2015,Fizz,Nautilus,1,1
183,Vladimir,blue,LeeSin,2015,Rumble,Sejuani,1,0
184,Lulu,blue,Nunu,2015,Vladimir,Sejuani,1,1
185,Rumble,blue,JarvanIV,2015,Hecarim,Sejuani,1,0
186,Hecarim,blue,LeeSin,2015,Maokai,RekSai,2,2
187,Rumble,blue,RekSai,2015,Morgana,Vi,2,2
188,Shyvana,blue,Nunu,2015,Hecarim,RekSai,1,0
189,Maokai,blue,RekSai,2015,Vladimir,Vi,1,0
190,Hecarim,blue,Gragas,2015,Sion,Sejuani,2,1
191,Hecarim,blue,Nunu,2015,Maokai,Sejuani,1,1
192,Hecarim,blue,Sejuani,2015,Sion,Nunu,1,1
