,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
136,Irelia,Nidalee,2015,Spring,blue,Top,Jungle,1,1
137,Hecarim,Vi,2015,Spring,blue,Top,Jungle,1,1
138,Yorick,RekSai,2015,Spring,blue,Top,Jungle,1,0
139,Vladimir,JarvanIV,2015,Spring,blue,Top,Jungle,1,0
140,Shyvana,JarvanIV,2015,Spring,blue,Top,Jungle,1,0
141,Kennen,Gragas,2015,Spring,blue,Top,Jungle,1,1
142,Renekton,Olaf,2015,Spring,blue,Top,Jungle,1,0
143,Jax,LeeSin,2015,Spring,blue,Top,Jungle,1,1
144,Cassiopeia,Rengar,2015,Spring,blue,Top,Jungle,1,1
145,Lissandra,Pantheon,2015,Spring,blue,Top,Jungle,1,0
146,Renekton,Sejuani,2015,Spring,blue,Top,Jungle,1,1
147,Gnar,Pantheon,2015,Spring,blue,Top,Jungle,2,0
148,Malphite,Pantheon,2015,Spring,blue,Top,Jungle,1,0
149,Poppy,Elise,2015,Spring,blue,Top,Jungle,1,0
150,Olaf,JarvanIV,2015,Spring,blue,Top,Jungle,1,1
151,Cassiopeia,RekSai,2015,Spring,blue,Top,Jungle,2,2
152,Cassiopeia,Olaf,2015,Spring,blue,Top,Jungle,1,1
153,Lissandra,Olaf,2015,Spring,blue,Top,Jungle,1,1
154,Rengar,Darius,2015,Spring,blue,Top,Jungle,1,0
155,Gnar,Zac,2015,Spring,blue,Top,Jungle,1,1
156,Hecarim,Amumu,2015,Spring,blue,Top,Jungle,1,0
157,Fizz,Gragas,2015,Spring,blue,Top,Jungle,1,1
158,Hecarim,Sion,2015,Spring,blue,Top,Jungle,1,1
159,Cassiopeia,Gragas,2015,Spring,blue,Top,Jungle,1,1
160,Sion,Sejuani,2015,Spring,blue,Top,Jungle,1,0
161,Hecarim,Nautilus,2015,Spring,blue,Top,Jungle,1,1
162,JarvanIV,LeeSin,2015,Spring,blue,Top,Jungle,1,0
163,Irelia,Rengar,2015,Spring,blue,Top,Jungle,1,0
164,DrMundo,Elise,2015,Spring,blue,Top,Jungle,1,0
165,Lulu,Khazix,2015,Spring,blue,Top,Jungle,1,1
166,Lulu,Elise,2015,Spring,blue,Top,Jungle,2,1
167,Ryze,Khazix,2015,Spring,blue,Top,Jungle,3,2
168,Nidalee,Khazix,2015,Spring,blue,Top,Jungle,1,1
169,Alistar,LeeSin,2015,Spring,blue,Top,Jungle,1,0
170,Gragas,Khazix,2015,Spring,blue,Top,Jungle,1,1
171,Nidalee,LeeSin,2015,Spring,blue,Top,Jungle,1,1
172,Katarina,Nunu,2015,Spring,blue,Top,Jungle,1,0
173,Maokai,Nocturne,2015,Spring,blue,Top,Jungle,2,2
174,Kassadin,Khazix,2015,Spring,blue,Top,Jungle,1,0
175,Gnar,Elise,2015,Spring,blue,Top,Jungle,3,1
176,Irelia,Khazix,2015,Spring,blue,Top,Jungle,2,2
177,Irelia,Rammus,2015,Spring,blue,Top,Jungle,1,0
178,Gnar,Khazix,2015,Spring,blue,Top,Jungle,2,1
179,Poppy,Khazix,2015,Spring,blue,Top,Jungle,1,1
180,Irelia,Zac,2015,Spring,blue,Top,Jungle,1,0
181,Maokai,Pantheon,2015,Spring,blue,Top,Jungle,2,0
182,Lissandra,Karthus,2015,Spring,blue,Top,Jungle,1,1
183,Maokai,Karthus,2015,Spring,blue,Top,Jungle,1,0
184,Rumble,Elise,2015,Spring,blue,Top,Jungle,2,1
185,JarvanIV,Lulu,2015,Spring,blue,Top,Jungle,1,0
186,JarvanIV,Rengar,2015,Spring,blue,Top,Jungle,1,1
187,DrMundo,Khazix,2015,Spring,blue,Top,Jungle,5,3
