,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
88,Fighter/Mage/,blue,Fighter/Mage/,2015,Tank/Mage/,Fighter/,7,2
89,Fighter/Mage/,blue,Fighter/,2015,Fighter/Tank/,Fighter/Mage/,7,2
90,Tank/Mage/,blue,Fighter/Assassin/,2015,Fighter/Tank/,Tank/Fighter/,5,4
91,Fighter/Tank/,blue,Fighter/,2015,Fighter/Assassin/,Assassin/Mage/,2,0
92,Fighter/Tank/,blue,Tank/Fighter/,2015,Fighter/Mage/,Tank/Fighter/,6,3
93,Fighter/Mage/,blue,Tank/Fighter/,2015,Fighter/Assassin/,Tank/Fighter/,1,1
94,Fighter/Tank/,blue,Assassin/Mage/,2015,Fighter/Tank/,Tank/Fighter/,2,0
95,Fighter/Mage/,blue,Tank/Fighter/,2015,Fighter/Tank/,Assassin/Mage/,2,2
96,Mage/Tank/,blue,Fighter/Mage/,2015,Fighter/Tank/,Fighter/Assassin/,1,0
97,Fighter/Assassin/,blue,Fighter/Mage/,2015,Mage/Fighter/,Fighter/,2,1
98,Mage/Fighter/,blue,Tank/Fighter/,2015,Tank/Mage/,Fighter/,1,0
99,Fighter/Tank/,blue,Fighter/,2015,Fighter/Mage/,Fighter/Assassin/,2,2
100,Tank/Mage/,blue,Tank/Fighter/,2015,Fighter/Mage/,Fighter/,3,0
101,Mage/Fighter/,blue,Tank/Fighter/,2015,Fighter/Assassin/,Fighter/Mage/,1,1
102,Tank/Mage/,blue,Fighter/Mage/,2015,Fighter/Mage/,Tank/Fighter/,2,1
103,Tank/Mage/,blue,Fighter/,2015,Mage/Fighter/,Tank/Fighter/,1,0
104,Tank/Mage/,blue,Fighter/Assassin/,2015,Fighter/Tank/,Fighter/,3,1
105,Fighter/Mage/,blue,Tank/Fighter/,2015,Fighter/Assassin/,Fighter/Mage/,1,0
106,Fighter/Mage/,blue,Fighter/,2015,Fighter/Tank/,Tank/Fighter/,5,4
107,Fighter/Tank/,blue,Fighter/,2015,Fighter/Tank/,Tank/Fighter/,4,2
108,Fighter/Tank/,blue,Fighter/Mage/,2015,Assassin/Fighter/,Fighter/,2,1
109,Fighter/Tank/,blue,Assassin/Fighter/,2015,Assassin/Fighter/,Tank/Fighter/,2,2
