,TAG1,TAG2,Total_Played,Wins
190,Mage/Fighter/,Support/,33,17
191,Marksman/Mage/,Marksman/,43,17
251,Assassin/Mage/,Tank/Fighter/,28,17
203,Marksman/Support/,Tank/Fighter/,33,17
192,Fighter/Assassin/,Fighter/Marksman/,42,16
308,Marksman/,Tank/Mage/,31,16
231,Mage/Fighter/,Fighter/Assassin/,36,16
225,Tank/Mage/,Tank/Mage/,28,16
244,Fighter/Tank/,Mage/Marksman/,35,16
280,Marksman/Mage/,Mage/,35,16
283,Support/Mage/,Tank/Fighter/,33,15
260,Assassin/Mage/,Mage/Support/,33,15
202,Fighter/Assassin/,Support/,37,15
194,Support/Tank/,Mage/Fighter/,28,15
267,Mage/Marksman/,Assassin/Fighter/,41,14
209,Support/Mage/,Fighter/Assassin/,24,14
252,Support/Mage/,Support/Tank/,26,14
200,Support/Tank/,Fighter/,21,14
270,Tank/Fighter/,Mage/Tank/,34,14
268,Mage/Marksman/,Fighter/Tank/,31,13
229,Mage/Marksman/,Marksman/,23,13
222,Support/Mage/,Support/Fighter/,21,13
208,Mage/Fighter/,Tank/Mage/,25,13
245,Fighter/,Tank/Mage/,42,13
213,Mage/Fighter/,Tank/,14,13
248,Tank/Mage/,Support/Tank/,26,13
250,Support/Mage/,Mage/,29,13
240,Assassin/Mage/,Mage/Marksman/,26,12
243,Tank/Mage/,Tank/Support/,33,12
217,Marksman/Support/,Support/,19,12
239,Fighter/,Fighter/Assassin/,32,12
263,Fighter/Marksman/,Support/Mage/,19,12
315,Fighter/Tank/,Marksman/Mage/,18,12
220,Fighter/Marksman/,Tank/Support/,21,12
265,Mage/,Assassin/Fighter/,23,12
294,Tank/Mage/,Mage/,25,11
303,Mage/,Fighter/Tank/,17,11
236,Assassin/Fighter/,Support/,23,11
258,Mage/Marksman/,Mage/Support/,23,11
232,Support/Tank/,Marksman/,21,11
253,Marksman/Mage/,Support/,35,11
296,Fighter/Assassin/,Marksman/Mage/,21,10
307,Marksman/Assassin/,Mage/,22,10
320,Marksman/,Fighter/,19,9
237,Fighter/Marksman/,Fighter/,29,9
247,Mage/,Marksman/,23,9
249,Tank/Mage/,Support/,25,9
264,Mage/Tank/,Tank/Fighter/,26,9
238,Mage/Tank/,Fighter/,16,9
241,Marksman/Fighter/,Mage/Fighter/,13,9
273,Fighter/Marksman/,Assassin/Fighter/,25,9
271,Mage/Support/,Fighter/,13,9
335,Assassin/Mage/,Assassin/Fighter/,17,9
281,Mage/,Mage/Support/,25,8
297,Assassin/Fighter/,Tank/,9,8
313,Support/Mage/,Fighter/Tank/,15,8
295,Marksman/,Marksman/Mage/,16,8
275,Assassin/Mage/,Fighter/Assassin/,13,8
291,Marksman/,Fighter/Assassin/,13,7
306,Marksman/Support/,Mage/,11,7
309,Fighter/Tank/,Support/,17,7
316,Marksman/Mage/,Tank/,20,7
326,Assassin/Mage/,Marksman/Mage/,20,7
262,Mage/,Mage/Fighter/,25,7
257,Marksman/,Fighter/Marksman/,22,7
